created_at,count
2024-05-15 15:59:08 -0600,17.5
2024-05-15 16:14:23 -0600,17.5
2024-05-15 16:20:01 -0600,17.5
2024-05-15 16:28:28 -0600,17.5
2024-05-15 16:40:58 -0600,23
2024-05-15 16:51:58 -0600,17.5
2024-05-15 16:58:58 -0600,20
2024-05-15 17:13:52 -0600,16.5
2024-05-15 17:19:58 -0600,18.5
2024-05-15 17:29:01 -0600,17
2024-05-15 17:42:58 -0600,19
2024-05-15 17:48:58 -0600,20
2024-05-15 17:59:05 -0600,20.5
2024-05-15 18:09:19 -0600,18
2024-05-15 18:20:01 -0600,15.5
2024-05-15 18:29:01 -0600,17
2024-05-15 18:38:47 -0600,16
2024-05-15 18:51:19 -0600,18
2024-05-15 18:58:57 -0600,17
2024-05-16 09:50:38 -0600,26.5
2024-05-16 10:50:38 -0600,25.5
2024-05-16 11:00:39 -0600,24
2024-05-16 11:10:40 -0600,23.5
2024-05-16 11:23:24 -0600,23
2024-05-16 11:35:58 -0600,20.5
2024-05-16 11:41:58 -0600,20
2024-05-16 11:54:58 -0600,20
2024-05-16 12:01:58 -0600,19
2024-05-16 12:15:58 -0600,19
2024-05-16 12:23:50 -0600,19.5
2024-05-16 12:30:49 -0600,20
2024-05-16 12:41:15 -0600,17
2024-05-16 12:51:25 -0600,20.5
2024-05-16 13:02:50 -0600,19.5
2024-05-16 13:10:54 -0600,19.5
2024-05-16 13:22:13 -0600,19
2024-05-16 13:34:19 -0600,18.5
2024-05-16 13:40:58 -0600,17.5
2024-05-16 13:55:18 -0600,17.5
2024-05-16 14:03:29 -0600,21.5
2024-05-16 14:13:41 -0600,17
2024-05-16 14:22:52 -0600,17
2024-05-16 14:35:58 -0600,18.5
2024-05-16 14:42:59 -0600,17.5
2024-05-16 14:55:58 -0600,17
2024-05-16 15:00:55 -0600,17.5
2024-05-16 15:13:38 -0600,17.5
2024-05-16 15:27:01 -0600,18
2024-05-16 15:35:58 -0600,17
2024-05-16 15:44:19 -0600,14.5
2024-05-16 15:53:56 -0600,16.5
2024-05-16 16:01:58 -0600,18.5
2024-05-16 16:11:31 -0600,17.5
2024-05-16 16:22:29 -0600,17
2024-05-16 16:35:32 -0600,17
2024-05-16 16:43:52 -0600,17
2024-05-16 16:51:49 -0600,17.5
2024-05-16 17:06:58 -0600,15.5
2024-05-16 17:13:58 -0600,15.5
2024-05-16 17:22:38 -0600,17
2024-05-16 17:31:12 -0600,17
2024-05-16 17:41:02 -0600,17.5
2024-05-16 17:52:23 -0600,17.5
2024-05-16 18:03:58 -0600,17
2024-05-16 18:16:08 -0600,16.5
2024-05-16 18:22:57 -0600,15
2024-05-16 18:36:58 -0600,18
2024-05-16 18:41:05 -0600,19
2024-05-16 18:51:10 -0600,15
2024-05-16 19:01:06 -0600,17
2024-05-17 11:10:41 -0600,27
2024-05-17 11:51:29 -0600,23
2024-05-17 12:11:04 -0600,25.5
2024-05-17 12:21:03 -0600,24
2024-05-17 12:31:08 -0600,28.5
2024-05-17 12:41:07 -0600,20.5
2024-05-17 12:52:19 -0600,24
2024-05-17 13:03:03 -0600,18
2024-05-17 13:14:10 -0600,18
2024-05-17 13:27:06 -0600,18
2024-05-17 13:33:34 -0600,17
2024-05-17 13:41:07 -0600,18
2024-05-17 13:50:58 -0600,16.5
2024-05-17 14:00:49 -0600,17
2024-05-17 14:11:34 -0600,19
2024-05-17 14:24:10 -0600,20.5
2024-05-17 14:31:31 -0600,20.5
2024-05-17 14:42:50 -0600,20.5
2024-05-17 14:51:58 -0600,22
2024-05-17 15:00:55 -0600,20.5
2024-05-17 15:12:51 -0600,18
2024-05-17 15:24:10 -0600,16.5
2024-05-17 15:31:11 -0600,17
2024-05-17 15:42:51 -0600,18.5
2024-05-17 15:52:58 -0600,19
2024-05-17 16:03:03 -0600,20
2024-05-17 16:12:52 -0600,20
2024-05-17 16:21:08 -0600,19.5
2024-05-17 16:36:58 -0600,18
2024-05-17 16:43:37 -0600,19
2024-05-17 16:51:00 -0600,19
2024-05-17 17:03:54 -0600,17
2024-05-17 17:13:38 -0600,20
2024-05-17 17:23:40 -0600,19.5
2024-05-17 17:35:03 -0600,19.5
2024-05-17 17:41:12 -0600,21
2024-05-17 17:53:58 -0600,17.5
2024-05-17 18:01:36 -0600,17
2024-05-17 18:11:47 -0600,17.5
2024-05-17 18:26:23 -0600,17
2024-05-17 18:32:43 -0600,16
2024-05-17 18:41:39 -0600,18
2024-05-17 18:51:05 -0600,18
2024-05-17 19:01:05 -0600,17.5
2024-05-19 10:00:36 -0600,23.5
2024-05-19 10:11:19 -0600,26
2024-05-19 10:20:38 -0600,29
2024-05-19 10:30:41 -0600,28.5
2024-05-19 10:41:52 -0600,26.5
2024-05-19 11:00:42 -0600,18.5
2024-05-19 11:21:45 -0600,25.5
2024-05-19 11:54:21 -0600,26
2024-05-19 12:21:13 -0600,24
2024-05-19 12:30:44 -0600,24.5
2024-05-19 12:40:56 -0600,23
